handle,Data gathered from https://en.wikipedia.org/wiki/List_of_most-followed_Twitter_accounts
ElonMusk,
BarackObama,
justinbieber,
katyperry,
rihanna,
Cristiano,
taylorswift13,
narendramodi,
realDonaldTrump,
ladygaga,
YouTube,
EllenDeGeneres,
KimKardashian,
NASA,
selenagomez,
Twitter,
cnnbrk,
jtimberlake,
BillGates,
neymarjr,
CNN,
britneyspears,
nytimes,
imVkohli,
shakira,
ddlovato,
KingJames,
PMOIndia,
BBCBreaking,
jimmyfallon,
SrBachchan,
BTS_twt,
ChampionsLeague,
realmadrid,
MileyCyrus,
FCBarcelona,
akshaykumar,
JLo,
espn,
BeingSalmanKhan,
iamsrk,
BrunoMars,
Oprah,
bts_bighit,
NBA,
SportsCenter,
NiallOfficial,
KylieJenner,
premierleague,
Drake,
