,neu,neg,pos
Milwaukee Bucks,0.9973775772530638,0.002302363277821944,0.00032005946911426125
Denver Nuggets,0.9994626969452741,0.00012642424817079916,0.0004108788065550973
Boston Celtics,0.9996540344901,5.3225463061528635e-05,0.0002927400468384075
Memphis Grizzlies,0.999864962189413,4.501260352898812e-05,9.002520705797624e-05
Philadelphia 76ers,0.9992882417537723,0.0002440313987066336,0.0004677268475210477
Sacramento Kings,0.9996183770901642,9.345867179650932e-05,0.00028816423803923707
Cleveland Cavaliers,0.9998966915467858,5.1654226607092124e-05,5.1654226607092124e-05
Phoenix Suns,0.9995280474649406,0.0002022653721682848,0.00026968716289104636
New York Knicks,0.9960818137013308,0.0017373090192212913,0.002180877279448004
LA Clippers,0.9998697747102487,4.00693199234676e-05,9.01559698278021e-05
Brooklyn Nets,0.999711507947956,8.654761561318986e-05,0.00020194443643077633
Golden State Warriors,0.9998704956777933,8.094020137922103e-05,4.856412082753262e-05
Atlanta Hawks,0.9993776554365388,0.00013763389384237928,0.00048471066961881397
LA Lakers,0.9985838999074708,0.0004183932091563745,0.000997706883372893
Miami Heat,0.9996997100056626,2.573914237177617e-05,0.0002745508519656125
Minnesota Timberwolves,0.9970479970479971,0.002187002187002187,0.000765000765000765
