,neu,neg,pos
Milwaukee Bucks,0.9487670970303537,0.024226782951573815,0.027006120018072538
Denver Nuggets,0.9435309687665432,0.012530439385918475,0.04393859184753838
Boston Celtics,0.967457447202439,0.006893614920325364,0.025648937877235642
Memphis Grizzlies,0.9715686209656614,0.014639051140761125,0.013792327893577472
Philadelphia 76ers,0.9529861897958849,0.004696454669359739,0.04231735553475541
Sacramento Kings,0.9544537626776742,0.010114122415435477,0.03543211490689031
Cleveland Cavaliers,0.981629428032132,0.003994556867565076,0.014376015100302885
Phoenix Suns,0.9546550798854253,0.0197337368016087,0.025611183312965944
New York Knicks,0.8826573714512889,0.0146030483952265,0.10273958015348464
LA Clippers,0.9692443915633063,0.008757669878734635,0.021997938557959035
Brooklyn Nets,0.96834669774888,0.009703829572104649,0.021949472679015293
Golden State Warriors,0.9564755158081439,0.023378316291096365,0.02014616790075969
Atlanta Hawks,0.8211539706400639,0.014888551638819561,0.16395747772111657
LA Lakers,0.9346780183356059,0.007222277650293214,0.0580997040141009
Miami Heat,0.9561623736550375,0.015482012824692968,0.028355613520269538
Minnesota Timberwolves,0.939026735910752,0.021701786152509436,0.0392714779367385
