NBA Teams,Positive,Neutral,Negative
Atlanta Hawks,0.143372437,0.856361439,0.000266124
New York Knicks,0.039833595,0.957674587,0.002491818
LA Lakers,0.031444345,0.967591207,0.000964448
Minnesota Timberwolves,0.026251733,0.97089626,0.002852007
Philadelphia 76ers,0.02596187,0.973397704,0.000640426
Miami Heat,0.016699272,0.983164873,0.000135855
Denver Nuggets,0.012101641,0.98764955,0.000248809
Brooklyn Nets,0.009001671,0.990731509,0.00026682
Phoenix Suns,0.008825869,0.990844374,0.000329758
Milwaukee Bucks,0.006270623,0.965292515,0.028436862
Golden State Warriors,0.00606896,0.993834877,9.62E-05
Sacramento Kings,0.00543996,0.994373261,0.00018678
LA Clippers,0.004752385,0.995123099,0.000124517
Memphis Grizzlies,0.004451912,0.995462093,8.60E-05
Boston Celtics,0.003851044,0.996013182,0.000135774
Cleveland Cavaliers,0.003818972,0.996071287,0.000109741
