,neu,neg,pos
Milwaukee Bucks,0.9596722299045716,0.02716357014745547,0.013164199947973
Denver Nuggets,0.9719798835362625,0.016119640021175226,0.011900476442562202
Boston Celtics,0.9737894515965785,0.012836812027105422,0.013373736376316081
Memphis Grizzlies,0.9711518743674382,0.020744719555999498,0.008103406076562304
Philadelphia 76ers,0.9766162536742369,0.015386636451713549,0.007997109874049625
Sacramento Kings,0.9641663086721829,0.01999943966080801,0.015834251667009098
Cleveland Cavaliers,0.9921864711821254,0.005157806944383478,0.002655721873491067
Phoenix Suns,0.9556702164115893,0.02925791580186087,0.015071867786549764
New York Knicks,0.9594777830627356,0.02121950007454157,0.019302716862722825
LA Clippers,0.9715548668709661,0.015523073623918261,0.012922059505115558
Brooklyn Nets,0.9755929727983822,0.015285989130587426,0.009121038071030348
Golden State Warriors,0.953136519537135,0.032321483903366775,0.014541996559498243
Atlanta Hawks,0.9069609373314249,0.08267102054907828,0.010368042119496811
LA Lakers,0.9785493365259902,0.013746161606083785,0.007704501867925992
Miami Heat,0.9744375611346593,0.02107923051842191,0.004483208346918813
Minnesota Timberwolves,0.9616836128963793,0.026125713830909128,0.012190673272711595
